SKU,ASIN,Description,Category,Warehouse,loc,quantity,Available,Committed,PO Reordered,Low Stock Threshold,Price,avg cost,Weight,30 Day Shipments,TV,Length,Width,Height,UPC,Tags
FLW.T1.1GPR,,T1 Hemp Flower weight: Franny's Grammys-1g Preroll,,Distribution Warehouse,,76.000000,76.000000,0.000000,0.000000,1,12.00,0.00,0.075,12.00,0.00,6,1,1,,
FLW.T1.227,,Bulk T1 Hemp Flower weight: 227g,,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,1075.00,0.00,0.54375,1.00,0.00,11,9,3,,
FLW.T1.28,,Bulk T1 Hemp Flower weight: 28g,,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,210.00,0.00,0.09375,1.00,0.00,8,4,3,,
FLW.T1.3.5,,T1 Hemp Flower weight: 3.5g,,Distribution Warehouse,,6.000000,6.000000,0.000000,0.000000,1,28.00,0.00,0.1625,1.00,0.00,4,3,1,,
FLW.T1.3PK,,T1 Hemp Flower weight: Half-Grammy 3 pack.,,Distribution Warehouse,,14.000000,14.000000,0.000000,0.000000,1,20.00,0.00,0.1125,42.00,0.00,3,4,1,,
FLW.T1.453,,Bulk T1 Hemp Flower weight: 453g,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,1725.00,0.00,0.6375,0.00,0.00,12,9,4,,
FLW.T1.7,,T1 Hemp Flower weight: 7g,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,1,55.00,0.00,0.25,0.00,0.00,7,4,1,,
FLW.WTRDRM.1,,Watermelon Dream Sauce Hemp Flower weight: 1g,,Distribution Warehouse,,7.000000,6.000000,1.000000,0.000000,1,10.00,0.00,0.01125,3.00,0.00,4,1,5,,
FLW.WTRDRM.113,,Bulk Watermelon Dream Sauce Hemp Flower weight: 113g,,Distribution Warehouse,,2.000000,2.000000,0.000000,0.000000,1,672.00,0.00,0.28125,2.00,0.00,9,7,4,,
FLW.WTRDRM.1PR,,Watermelon Dream Sauce Hemp Flower weight: Franny's Grammy: 1g Pre-Roll,,Distribution Warehouse,,43.000000,43.000000,0.000000,0.000000,1,12.00,0.00,0.031875,39.00,0.00,5,1,1,,
FLW.WTRDRM.227,,Bulk Watermelon Dream Sauce Hemp Flower weight: 227g,,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,1075.00,0.00,0.54375,0.00,0.00,11,9,4,,
FLW.WTRDRM.28,,Bulk Watermelon Dream Sauce Hemp Flower weight: 28g,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,1,210.00,0.00,0.09375,0.00,0.00,8,405,3,,
FLW.WTRDRM.3.5,,Watermelon Dream Sauce Hemp Flower weight: 3.5g,,Distribution Warehouse,,6.000000,6.000000,0.000000,0.000000,1,28.00,0.00,0.0175,2.00,0.00,4,1,5,,
FLW.WTRDRM.3PK,,Watermelon Dream Sauce Hemp Flower weight: Half Grammy 3pk,,Distribution Warehouse,,27.000000,27.000000,0.000000,0.000000,1,20.00,0.00,0.014375,25.00,0.00,4,1,5,,
FLW.WTRDRM.453,,Bulk Watermelon Dream Sauce Hemp Flower weight: 453g,,Distribution Warehouse,,-1.000000,-1.000000,0.000000,0.000000,1,1725.00,0.00,0.6375,1.00,-0.00,12,9,8,,
FLW.WTRDRM.7,,Watermelon Dream Sauce Hemp Flower weight: 7g,,Distribution Warehouse,,5.000000,5.000000,0.000000,0.000000,1,55.00,0.00,0.03,1.00,0.00,4,2,7,,
FRANPOUCH,,Franny's Farmacy Hemp Pouch,,Distribution Warehouse,,23.000000,23.000000,0.000000,0.000000,1,16.00,0.00,0.10625,6.00,0.00,9,1,7,,
GHGBLK092152,,Grindhouse Grinders color: Black,,Distribution Warehouse,,26.000000,26.000000,0.000000,0.000000,1,29.00,0.00,0.25,0.00,0.00,3,3,3,,
GHGGMG092152,,Grindhouse Grinders color: Gun Metal Grey,,Distribution Warehouse,,34.000000,34.000000,0.000000,0.000000,1,29.00,0.00,0.25,5.00,0.00,3,3,3,,
GHGSLV092152,,Grindhouse Grinders color: Silver,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,29.00,0.00,0.25,0.00,0.00,3,3,3,,
KRFPPR000001,,Paper Shopping Bags size: Large,,Distribution Warehouse,,7.000000,7.000000,0.000000,0.000000,5,50.00,0.00,0.0,5.00,0.00,0,0,0,,
KRFPPR000002,,Paper Shopping Bags size: Small,,Distribution Warehouse,,8.000000,8.000000,0.000000,0.000000,5,50.00,0.00,0.0,5.00,0.00,0,0,0,,
MRCHHATBRN01,,Franny's Farmacy Hemp/Cotton Caps color: Brown,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.0,0.00,0.00,0,0,0,,
MRCHHATCRM01,,Franny's Farmacy Hemp/Cotton Caps color: Cream,,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,30.00,0.00,0.0,0.00,0.00,0,0,0,,
